transit_date,station_complex_id,station_ridership,inside_zone
1/12/2024,436,2069,0
1/12/2024,320,8969,1
1/12/2024,324,7262,1
1/12/2024,146,6129,0
1/13/2024,397,25184,0
1/13/2024,144,2827,0
1/13/2024,223,3797,0
1/13/2024,613,22597,1
1/13/2024,314,4407,0
1/13/2024,438,4158,0
1/13/2024,395,4233,0
1/13/2024,146,4145,0
1/13/2024,8,6333,0
1/13/2024,308,6075,0
1/13/2024,328,7771,1
1/13/2024,623,23584,1
1/13/2024,310,16848,0
1/13/2024,622,8216,1
1/13/2024,301,4279,0
1/13/2024,602,44311,1
1/13/2024,399,7157,0
1/13/2024,276,9367,1
1/13/2024,298,2627,0
1/13/2024,323,9362,1
1/13/2024,220,708,0
1/13/2024,316,5352,1
1/13/2024,300,3029,0
1/13/2024,119,15702,1
1/13/2024,607,46788,1
1/13/2024,14,10175,1
1/13/2024,394,3891,0
1/13/2024,477,10068,0
1/13/2024,118,5021,1
1/13/2024,20,1843,1
1/13/2024,222,2242,0
1/13/2024,159,9576,0
1/13/2024,635,9121,1
1/13/2024,160,5227,0
1/13/2024,168,7283,1
1/13/2024,149,1895,0
1/13/2024,304,4817,0
1/13/2024,413,4940,1
1/13/2024,619,22530,1
1/13/2024,306,3599,0
1/13/2024,10,14986,1
1/13/2024,440,3730,0
1/13/2024,436,1008,0
1/13/2024,614,33375,1
1/13/2024,321,3755,1
1/13/2024,327,4679,1
1/13/2024,407,9740,1
1/13/2024,13,7430,1
1/13/2024,475,6722,0
1/13/2024,162,16237,1
1/13/2024,307,5127,0
1/13/2024,409,9493,1
1/13/2024,441,2888,0
1/13/2024,612,20231,1
1/13/2024,610,47952,1
1/13/2024,309,6057,0
1/13/2024,611,86476,1
1/13/2024,625,18660,1
1/13/2024,601,23025,1
1/13/2024,103,2607,1
1/13/2024,151,10342,0
1/13/2024,155,3343,0
1/13/2024,439,4941,0
1/13/2024,329,2746,1
1/13/2024,303,4733,0
1/13/2024,312,2380,0
1/13/2024,605,8707,0
1/13/2024,305,5260,0
1/13/2024,165,10385,1
1/13/2024,143,3785,0
1/13/2024,16,11202,1
1/13/2024,147,4276,0
1/13/2024,403,11571,1
1/13/2024,157,3677,0
1/13/2024,393,4823,0
1/13/2024,404,8490,1
1/13/2024,398,12609,0
1/13/2024,169,8170,1
1/13/2024,22,2254,1
1/13/2024,152,1858,0
1/13/2024,311,3507,0
1/13/2024,9,18033,1
1/13/2024,624,20313,1
1/13/2024,231,14446,1
1/13/2024,17,11193,1
1/13/2024,318,25624,1
1/13/2024,224,1,1
1/13/2024,319,5350,1
1/13/2024,167,25559,1
1/13/2024,232,11945,1
1/13/2024,107,1909,1
1/13/2024,313,25490,0
1/13/2024,225,15492,1
1/13/2024,299,2843,0
1/13/2024,164,38011,1
1/13/2024,154,2967,0
1/13/2024,618,28018,1
1/13/2024,234,9872,1
1/13/2024,326,2609,1
1/13/2024,153,11076,0
1/13/2024,333,4826,1
1/13/2024,392,9122,0
1/13/2024,628,29305,1
1/13/2024,324,5436,1
1/13/2024,158,5245,0
1/13/2024,476,11200,0
1/13/2024,145,1910,0
1/13/2024,414,6094,1
1/13/2024,277,8386,1
1/13/2024,471,223,1
1/13/2024,325,2283,1
1/13/2024,150,1301,0
1/13/2024,609,14103,1
1/13/2024,297,728,0
1/13/2024,156,2071,0
1/13/2024,405,8394,1
1/13/2024,396,6258,0
1/13/2024,437,916,0
1/13/2024,320,7344,1
1/13/2024,228,9801,1
1/13/2024,296,1920,0
1/14/2024,164,32863,1
1/14/2024,299,2222,0
1/14/2024,298,1959,0
1/14/2024,440,3259,0
1/14/2024,306,3085,0
1/14/2024,314,3435,0
1/14/2024,304,3912,0
1/14/2024,393,3828,0
1/14/2024,159,9379,0
1/14/2024,399,5104,0
1/14/2024,309,5110,0
1/14/2024,151,8387,0
1/14/2024,119,12566,1
1/14/2024,607,37237,1
1/14/2024,169,6358,1
1/14/2024,601,18935,1
1/14/2024,320,5992,1
1/14/2024,405,6560,1
1/14/2024,439,4489,0
1/14/2024,150,1107,0
1/14/2024,414,4752,1
1/14/2024,325,1873,1
1/14/2024,333,4235,1
1/14/2024,234,8193,1
1/14/2024,328,6229,1
1/14/2024,618,24253,1
1/14/2024,160,4414,0
1/14/2024,167,21194,1
1/14/2024,224,1,1
1/14/2024,311,3113,0
1/14/2024,436,1056,0
1/14/2024,610,38023,1
1/14/2024,158,4704,0
1/14/2024,321,3089,1
1/14/2024,635,7752,1
1/14/2024,143,3038,0
1/14/2024,103,1992,1
1/14/2024,152,1479,0
1/14/2024,475,5480,0
1/14/2024,308,5286,0
1/14/2024,313,22081,0
1/14/2024,437,780,0
1/14/2024,324,4217,1
1/14/2024,395,3261,0
1/14/2024,441,2256,0
1/14/2024,232,9789,1
1/14/2024,326,2053,1
1/14/2024,22,1871,1
1/14/2024,477,7597,0
1/14/2024,147,3502,0
1/14/2024,156,1682,0
1/14/2024,301,3393,0
1/14/2024,471,46,1
1/14/2024,404,6899,1
1/14/2024,20,1401,1
1/14/2024,8,4824,0
1/14/2024,155,2873,0
1/14/2024,624,15259,1
1/14/2024,231,11484,1
1/14/2024,13,5815,1
1/14/2024,611,70500,1
1/14/2024,612,16181,1
1/14/2024,162,13907,1
1/14/2024,9,13337,1
1/14/2024,602,34666,1
1/14/2024,605,6874,0
1/14/2024,438,3374,0
1/14/2024,300,2443,0
1/14/2024,619,18316,1
1/14/2024,396,4966,0
1/14/2024,146,3583,0
1/14/2024,296,1528,0
1/14/2024,225,11618,1
