transit_date,station_complex_id,station_ridership
3/4/2025,228,22290
3/4/2025,319,10861
3/4/2025,220,2211
3/4/2025,158,9156
3/4/2025,413,14473
3/4/2025,398,22423
3/4/2025,156,3464
3/4/2025,224,11122
3/4/2025,475,15017
3/4/2025,14,15542
3/4/2025,118,5696
3/4/2025,160,7269
3/4/2025,304,6973
3/4/2025,311,14142
3/4/2025,303,7894
3/4/2025,20,4416
3/4/2025,407,13232
3/4/2025,477,26736
3/4/2025,409,8336
3/4/2025,310,27789
3/4/2025,165,17388
3/4/2025,405,23883
3/4/2025,329,5891
3/4/2025,395,10378
3/4/2025,145,3220
3/5/2025,8,10692
3/5/2025,147,7340
3/5/2025,477,27512
3/5/2025,157,7881
3/5/2025,303,7217
3/5/2025,319,11785
3/5/2025,169,14023
3/5/2025,224,11184
3/5/2025,440,7309
3/5/2025,300,5554
3/5/2025,395,10183
3/5/2025,309,9563
3/5/2025,438,9177
3/5/2025,301,8014
3/5/2025,232,12148
3/5/2025,333,16084
3/5/2025,475,15135
3/5/2025,404,17270
3/5/2025,119,21694
3/5/2025,14,16959
3/5/2025,158,9088
3/5/2025,476,20099
3/5/2025,306,7482
3/5/2025,162,18112
3/5/2025,118,5389
3/5/2025,220,2077
3/5/2025,393,10709
3/5/2025,146,7377
3/5/2025,10,21366
3/5/2025,103,2463
3/5/2025,396,14423
3/5/2025,321,6367
3/5/2025,304,6422
3/5/2025,150,1999
2/26/2025,476,20013
2/26/2025,440,7534
2/26/2025,118,5467
2/26/2025,232,12581
2/26/2025,316,20309
2/26/2025,309,9329
2/26/2025,333,16144
2/26/2025,393,11192
2/26/2025,165,17457
2/26/2025,477,26907
2/26/2025,310,27875
2/26/2025,14,15442
2/26/2025,320,11015
2/26/2025,162,16759
2/26/2025,228,20934
2/26/2025,395,10553
2/26/2025,321,6041
2/26/2025,157,7931
2/26/2025,220,2082
2/26/2025,299,5452
2/26/2025,8,11089
2/26/2025,158,9023
2/26/2025,304,6987
2/26/2025,403,22143
2/26/2025,405,24907
2/26/2025,312,11758
2/26/2025,22,4412
2/26/2025,234,11453
2/26/2025,437,2454
2/26/2025,119,21785
2/26/2025,150,1887
2/26/2025,224,11070
2/26/2025,319,11438
2/26/2025,475,15258
2/26/2025,152,4584
2/26/2025,103,2583
2/26/2025,404,16588
2/26/2025,392,20419
2/25/2025,333,16017
2/25/2025,298,3556
2/25/2025,277,13440
2/25/2025,303,6345
2/25/2025,605,19700
2/25/2025,300,4248
2/25/2025,396,14875
2/25/2025,306,7284
2/25/2025,404,16726
2/25/2025,397,35687
2/25/2025,157,7849
2/25/2025,437,2333
2/25/2025,118,5303
2/25/2025,145,3592
2/25/2025,438,9049
2/25/2025,169,14489
2/25/2025,297,1551
2/25/2025,436,2477
2/25/2025,150,2155
2/25/2025,405,23827
2/25/2025,151,19059
2/25/2025,394,8708
2/25/2025,398,22195
2/25/2025,119,21213
2/25/2025,160,6795
2/25/2025,228,22074
2/25/2025,146,8071
2/25/2025,162,16176
2/25/2025,477,26543
2/25/2025,299,4278
2/25/2025,393,10941
2/25/2025,440,7363
2/25/2025,311,13884
2/25/2025,439,9896
2/25/2025,143,8095
2/25/2025,403,21390
2/25/2025,224,10443
2/25/2025,301,6539
2/25/2025,475,14661
2/14/2025,316,16872
2/14/2025,403,19950
2/14/2025,299,5380
2/14/2025,394,8268
2/14/2025,298,4421
2/14/2025,146,6897
2/14/2025,304,7319
2/14/2025,306,6524
2/14/2025,440,7612
2/14/2025,321,5540
2/14/2025,277,12805
2/14/2025,333,11404
2/14/2025,157,7073
2/14/2025,231,17700
2/14/2025,150,1823
2/14/2025,312,11759
2/14/2025,320,9947
2/14/2025,13,9415
2/14/2025,118,6339
2/14/2025,232,13387
2/14/2025,143,6386
2/14/2025,16,13131
2/14/2025,301,8342
2/14/2025,145,3172
2/14/2025,477,24235
2/14/2025,605,17751
2/14/2025,147,7647
2/14/2025,404,14815
2/7/2025,477,25275
2/7/2025,440,7442
2/7/2025,232,12812
2/7/2025,301,8632
2/7/2025,409,9995
2/7/2025,145,3010
2/7/2025,309,9720
2/7/2025,277,12559
2/7/2025,396,13751
2/7/2025,393,9774
2/7/2025,405,18609
2/7/2025,152,4022
2/7/2025,158,8340
2/7/2025,150,1882
2/7/2025,119,24040
2/7/2025,144,4573
2/7/2025,220,2043
2/7/2025,321,5475
2/7/2025,475,14262
2/7/2025,320,10455
2/7/2025,14,12977
2/7/2025,22,3839
2/7/2025,147,7348
2/7/2025,162,16795
2/7/2025,231,17451
2/7/2025,300,6007
3/3/2025,475,13587
3/3/2025,405,22601
3/3/2025,162,14734
3/3/2025,13,8450
3/3/2025,393,10318
3/3/2025,145,2904
3/3/2025,300,5481
3/3/2025,157,7386
3/3/2025,144,4235
3/3/2025,10,17700
3/3/2025,476,17476
3/3/2025,228,19259
3/3/2025,301,8129
3/3/2025,119,19628
3/3/2025,324,10999
3/3/2025,147,6634
3/3/2025,14,13947
3/3/2025,316,16806
3/3/2025,329,5342
3/3/2025,403,19282
3/3/2025,311,12947
3/3/2025,118,4736
3/3/2025,156,3107
3/3/2025,394,8239
3/3/2025,326,4365
3/3/2025,477,24540
3/3/2025,234,10816
3/3/2025,304,6667
3/3/2025,438,8758
3/3/2025,232,10491
3/3/2025,436,2273
3/3/2025,103,2361
3/3/2025,395,9602
3/3/2025,168,10267
3/3/2025,396,13907
3/3/2025,605,17712
2/20/2025,220,1743
2/20/2025,476,19088
2/20/2025,160,6418
2/20/2025,477,25147
2/20/2025,316,19644
2/20/2025,14,15739
2/20/2025,146,6536
2/20/2025,396,12449
2/20/2025,297,1630
2/20/2025,231,14775
2/20/2025,119,20497
2/20/2025,144,4081
2/20/2025,224,10914
2/20/2025,232,12773
2/20/2025,475,13126
2/20/2025,152,3760
2/20/2025,438,7716
2/20/2025,303,7343
2/20/2025,405,23604
2/20/2025,301,7554
2/20/2025,439,9234
2/20/2025,298,3815
2/20/2025,321,5980
2/20/2025,304,6566
2/20/2025,10,20630
2/20/2025,306,6924
2/20/2025,392,17097
2/20/2025,398,21282
2/20/2025,328,12497
2/20/2025,393,8555
2/20/2025,311,13726
2/20/2025,313,27582
2/20/2025,13,10080
2/20/2025,403,21275
2/20/2025,165,17114
2/24/2025,231,15975
2/24/2025,477,24007
2/24/2025,304,6832
2/24/2025,154,4670
2/24/2025,146,6619
2/24/2025,605,17618
2/24/2025,300,5617
2/24/2025,326,4361
2/24/2025,145,2909
2/24/2025,320,9439
2/24/2025,333,12755
2/24/2025,309,8329
2/24/2025,165,15202
2/24/2025,17,7017
2/24/2025,276,13642
2/24/2025,413,11078
2/24/2025,436,2348
2/24/2025,147,7108
2/24/2025,310,24761
2/24/2025,301,7948
2/24/2025,232,10292
2/24/2025,319,9684
2/24/2025,475,13402
2/24/2025,395,9693
2/24/2025,476,16769
2/24/2025,277,11751
2/24/2025,313,26333
2/24/2025,14,13389
2/24/2025,224,9067
2/24/2025,439,9459
2/24/2025,20,3980
2/24/2025,405,22557
2/24/2025,158,8303
2/24/2025,403,19238
2/24/2025,306,6847
2/24/2025,220,1934
2/24/2025,228,18688
2/24/2025,324,11280
2/13/2025,232,10829
2/13/2025,160,6447
2/13/2025,321,6234
2/13/2025,407,13665
2/13/2025,300,6091
2/13/2025,440,7463
2/13/2025,326,4795
2/13/2025,152,4543
2/13/2025,16,14099
2/13/2025,276,15726
2/13/2025,20,4018
2/13/2025,319,11202
2/13/2025,475,14947
2/13/2025,324,13065
2/13/2025,157,7646
2/13/2025,329,5647
2/13/2025,605,18870
2/13/2025,13,9382
2/13/2025,306,7703
2/13/2025,320,10786
2/13/2025,118,5570
2/13/2025,310,27592
2/13/2025,393,10424
2/13/2025,154,5092
2/13/2025,10,20477
2/13/2025,437,2291
2/13/2025,303,8174
2/13/2025,409,8503
2/13/2025,394,8795
2/13/2025,395,10205
2/13/2025,231,14985
2/13/2025,9,29058
2/13/2025,312,11742
2/13/2025,145,3266
2/13/2025,333,15069
2/21/2025,397,32600
2/21/2025,475,12571
2/21/2025,477,22273
2/21/2025,394,7113
2/21/2025,154,4471
2/21/2025,319,10158
2/21/2025,152,3110
2/21/2025,324,9177
2/21/2025,476,17689
2/21/2025,276,11144
